timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-10T19:43:02.852194,36037,130320,5,59
2026-06-10T19:43:22.902999,36037,130320,4,86
2026-06-10T19:43:42.920879,36037,130320,5,85
2026-06-10T19:44:02.958493,36037,130320,6,83
2026-06-10T19:44:22.983510,36037,130320,4,85
2026-06-10T19:44:42.950133,36037,130320,4,60
2026-06-10T19:45:02.999265,36037,130320,4,57
2026-06-10T19:45:23.076545,36037,130320,5,86
2026-06-10T19:45:43.067882,36037,130345,4,86
2026-06-10T19:46:03.099914,36037,130345,4,83
2026-06-10T19:46:23.245097,36037,130345,4,185
2026-06-10T19:46:43.088967,36037,130345,4,56
2026-06-10T19:47:03.164450,36037,130345,4,90
2026-06-10T19:47:23.127131,36037,130362,4,82
2026-06-10T19:47:43.126357,36037,130362,5,85
2026-06-10T19:48:03.110874,36037,130362,4,55
2026-06-10T19:48:23.124222,36037,130362,4,56
2026-06-10T19:48:43.200197,36037,130362,5,84
